application_number,child_application_number,child_filing_date,continuation_type
12950630,13711451,2012-12-11,CON
12950633,13305300,2011-11-28,CON
12950634,PCT/US11/35616,2011-05-06,CON
12950634,13102832,2011-05-06,CIP
12950637,PCT/US11/61035,2011-11-16,CON
12950637,13297436,2011-11-16,CIP
12950641,13747308,2013-01-22,CON
12950643,13534907,2012-06-27,CON
12950643,13791032,2013-03-08,CON
12950643,13793110,2013-03-11,CON
12950643,13217885,2011-08-25,CON
12950644,14093794,2013-12-02,CON
12950649,13775963,2013-02-25,CON
12950649,13530919,2012-06-22,CON
12950650,PCT/US11/58223,2011-10-28,CON
12950650,14179079,2014-02-12,DIV
12950656,14457893,2014-08-12,CON
12950660,14039988,2013-09-27,CON
12950664,PCT/US11/60756,2011-11-15,CON
12950664,14269979,2014-05-05,CON
12950666,PCT/US11/60756,2011-11-15,CON
12950668,13277691,2011-10-20,CON
12950669,PCT/US11/59612,2011-11-07,CON
12950671,PCT/US11/60756,2011-11-15,CON
12950672,14280156,2014-05-16,CON
12950672,13529694,2012-06-21,CON
12950676,13077395,2011-03-31,CON
12950676,13240501,2011-09-22,CON
12950678,PCT/US11/58772,2011-11-01,CON
12950679,13450165,2012-04-18,CON
12950679,13449934,2012-04-18,CON
12950684,14196176,2014-03-04,CON
12950686,13295795,2011-11-14,DIV
12950691,13663342,2012-10-29,CON
12950691,14697531,2015-04-27,CON
12950691,PCT/US11/38217,2011-05-26,CON
12950694,13308502,2011-11-30,DIV
12950697,14482061,2014-09-10,CON
12950697,13230017,2011-09-12,CON
12950706,13027161,2011-02-14,CIP
12950707,14450154,2014-08-01,CON
12950709,13363239,2012-01-31,CON
12950709,13418208,2012-03-12,CIP
12950710,12962524,2010-12-07,CIP
12950710,14808846,2015-07-24,CIP
12950710,13959584,2013-08-05,CIP
12950715,14251784,2014-04-14,CON
12950716,13547923,2012-07-12,CON
12950716,13289487,2011-11-04,CON
12950718,14064737,2013-10-28,CON
12950726,13472919,2012-05-16,CON
12950728,PCT/US11/60813,2011-11-15,CON
12950730,13872549,2013-04-29,CON
12950733,14314446,2014-06-25,CON
12950742,13953826,2013-07-30,CON
12950749,13429142,2012-03-23,CON
12950749,13429128,2012-03-23,CON
12950749,14586379,2014-12-30,CON
12950749,14137420,2013-12-20,CON
12950756,PCT/US11/60748,2011-11-15,CON
12950759,14293513,2014-06-02,CON
12950761,13657487,2012-10-22,CON
12950761,PCT/US11/60031,2011-11-09,CON
12950762,14143354,2013-12-30,CON
12950762,13358804,2012-01-26,CON
12950762,13735004,2013-01-06,CON
12950762,90013037,2013-10-22,CON
12950762,90013036,2013-10-22,REX
12950764,14658736,2015-03-16,DIV
12950767,PCT/US11/59543,2011-11-07,CON
12950771,14243217,2014-04-02,DIV
12950771,PCT/US11/61377,2011-11-18,CON
12950773,PCT/US11/57071,2011-10-20,CON
12950774,13612444,2012-09-12,DIV
12950777,PCT/US11/59693,2011-11-08,CON
12950779,13936426,2013-07-08,CON
12950782,14164954,2014-01-27,CON
12950783,13371237,2012-02-10,CON
12950783,13666790,2012-11-01,CON
12950783,13090160,2011-04-19,CON
12950786,PCT/US11/61442,2011-11-18,CON
12950787,PCT/US11/60034,2011-11-09,CON
12950793,PCT/US11/48404,2011-08-19,CON
12950797,PCT/US11/60037,2011-11-09,CON
12950797,13455956,2012-04-25,CON
12950797,14567445,2014-12-11,DIV
12950799,PCT/US10/57788,2010-11-23,CON
12950800,13460735,2012-04-30,CON
12950803,13620515,2012-09-14,DIV
12950805,13840999,2013-03-15,DIV
12950812,14309737,2014-06-19,CON
12950814,13269936,2011-10-10,CIP
