application_number,child_application_number,child_filing_date,continuation_type
12131152,13590849,2012-08-21,DIV
12131152,13078563,2011-04-01,DIV
12131183,12901053,2010-10-08,CON
12131188,PCT/US09/44854,2009-05-21,CON
12131188,13209881,2011-08-15,CON
12131191,13688535,2012-11-29,CON
12131211,13041491,2011-03-07,CON
12131211,PCT/US08/07844,2008-06-24,CON
12131218,PCT/US09/44189,2009-05-15,CON
12131219,PCT/US09/43609,2009-05-12,CON
12131220,PCT/US08/65828,2008-06-04,CON
12131228,PCT/US09/45238,2009-05-27,CON
12131236,13857881,2013-04-05,CON
12131262,12710466,2010-02-23,CIP
12131262,13739860,2013-01-11,CIP
12131265,12629242,2009-12-02,CON
12131267,14678742,2015-04-03,CIP
12131267,13445776,2012-04-12,CIP
12131267,PCT/US09/45943,2009-06-02,CON
12131267,12760331,2010-04-14,CIP
12131267,12760378,2010-04-14,CIP
12131269,13311928,2011-12-06,CON
12131271,12255527,2008-10-21,CIP
12131271,PCT/US08/79742,2008-10-13,CON
12131278,12884331,2010-09-17,CON
12131278,13373606,2011-11-21,CON
12131311,12858456,2010-08-18,CON
12131318,13285623,2011-10-31,CON
12131339,PCT/US09/44614,2009-05-20,CON
12131344,14172633,2014-02-04,DIV
12131347,PCT/US09/45774,2009-06-01,CON
12131368,14185172,2014-02-20,CON
12131371,12685181,2010-01-11,DIV
12131378,13307257,2011-11-30,CON
12131378,13670609,2012-11-07,CON
12131386,PCT/US09/45916,2009-06-02,CON
12131387,PCT/US09/45021,2009-05-22,CON
12131392,PCT/US09/42458,2009-05-01,CON
12131392,12847067,2010-07-30,CON
12131394,14534354,2014-11-06,CON
12131397,13166331,2011-06-22,CON
12131397,14319239,2014-06-30,CON
12131397,12562820,2009-09-18,CON
12131404,13940670,2013-07-12,CON
12131404,13302238,2011-11-22,CON
12131404,14622104,2015-02-13,CON
12131407,13306472,2011-11-29,CON
12131414,14050892,2013-10-10,CON
12131429,13337949,2011-12-27,DIV
12131431,13407553,2012-02-28,DIV
12131431,12237436,2008-09-25,DIV
12131443,12875923,2010-09-03,CON
12131443,13679854,2012-11-16,CON
12131443,13327626,2011-12-15,CON
12131443,90012425,2012-08-15,REX
12131445,13736549,2013-01-08,CON
12131447,13451995,2012-04-20,CON
12131447,13079508,2011-04-04,CON
12131447,PCT/US08/86948,2008-12-16,CON
12131448,PCT/US09/45560,2009-05-29,CON
12131449,PCT/US09/43112,2009-05-07,CON
12131454,13524249,2012-06-15,DIV
12131457,14717360,2015-05-20,CON
12131457,13908972,2013-06-03,CON
12131458,12979697,2010-12-28,DIV
12131462,13252822,2011-10-04,CON
12131472,13366415,2012-02-06,DIV
12131478,14264402,2014-04-29,CON
12131478,13077512,2011-03-31,CON
12131478,13764322,2013-02-11,CON
12131483,13008552,2011-01-18,DIV
12131484,12476744,2009-06-02,CIP
12131484,PCT/US09/46004,2009-06-02,CON
12131485,12955212,2010-11-29,CON
12131486,12879532,2010-09-10,CON
12131501,12630419,2009-12-03,CIP
12131503,13854950,2013-04-01,CON
12131511,12193139,2008-08-18,CON
12131513,PCT/US08/87126,2008-12-17,CON
12131516,13245380,2011-09-26,CON
12131524,13686272,2012-11-27,CON
12131524,13405849,2012-02-27,CON
12131526,PCT/US09/45869,2009-06-01,CON
12131532,PCT/US09/45803,2009-06-01,CON
12131537,12336274,2008-12-16,DIV
12131537,12566566,2009-09-24,DIV
12131541,14461222,2014-08-15,DIV
12131544,12880307,2010-09-13,CON
12131548,12702424,2010-02-09,CON
