US,20140096299,13646437,Paint Suit,A paint suit. A hood is attached to the top of the suit. An elastic waistband and two elastic sleeves are also attached. A central vertical hook-and-loop fastener secures the paint suit onto the wearer. The paint suit includes a breast pocket and preferably four lower pockets. Two knee pads are built into the paint suit. The paint suit also includes two arm pit vents and a back vent.
US,20140096300,13645022,BIB WITH CUSTOMIZED DECORATIONS,"A bib preferably for young children to be worn around the neck and to protect the chest from soiling usually by spilled food during feeding features a transparent window in the chest protecting area of a front facing panel. A back panel forms gap behind the front panel creating a pocket into which can be placed a detached sheet bearing a decorative graphic design. The design is positioned such that it can be seen by a viewer looking through the window when the sheet is inserted in the pocket. The back side of the bib can also be formed by a lower, middle panel partially overlapping the upper back panel."
US,20140096301,14123706,Sports Garment,"The present invention provides a garment () for covering a wearer's thighs. The garment comprises a pair of front resistance elements () each of which, in use, extends obliquely across the front of a respective one of the wearer's thighs. It also comprises a pair of rear resistance elements () each of which, in use, extends obliquely across the rear of a respective one of the wearer's thighs. Each of the front and rear resistance elements extends from a respective upper position (7, 11) located proximal to the midline () of the garment to a respective lower position (9, 12) located distal from the midline of the garment. This provides a stabilising effect on the wearer's hip joint."
US,20140096302,13644796,Neck and Chest Warmer,"A convertible garment for providing warmth to a neck and/or chest of a person includes an elongated neck piece having a first end and a second end opposite the first end, and an inner surface and outer surface opposite the inner surface, wherein the neck piece is adapted to wrap around the neck. At least one neck fastener is provided for releasably securing the first end to the second end, the neck fastener having a first fastener disposed proximate to the first end on the inner surface and a second fastener disposed proximate to the second end on the outer surface. The garment further includes a chest piece adapted to releasably attach to the neck piece and cover the chest, wherein the neck piece forms a tubular configuration."
US,20140096303,14025814,PROCESS FOR CONVERTING A BOX NECKLINE TO A SWEETHEART OR V-NECK NECKLINE,"A process permits conversion of a box neckline to a sweetheart or v-neck neckline in a garment proximate an undergarment. The process includes the following steps, not necessarily in order. First is inserting a small hook beneath the undergarment. The undergarment is pushing the small hook downward. Next is inserting a large hook, which is connected to the small hook by a central member, over the box neckline of the garment. After that is pulling the box neckline downward with the large hook proximate the undergarment which pulls the box neckline downward making the sweetheart or v-neck neckline on the garment."
US,20140096304,14050040,Internally Belted Coveralls,"A unitary coverall garment with integral jacket and trouser section incorporates a separate belt held by interior belt loops or a belt tube within the garment. The belt has a fastening buckle and adjustable strap that is fed through the interior belt loops or a tube. A closing means is provided to close the garment to cover the interior belt. Adjusting the belt to pull the garment inward toward the wearer and closing the garment to cover the belt will minimize the risks associated with snagging the belt or garment on moving equipment. The coverall garment is worn by opening the jacket section, stepping into the trouser section, positioning the jacket section on the wearer's upper body, fastening the internal belt around the wearer's waist, tightening the adjustment strap, and closing the jacket section opening over the belt."
US,20140096305,14049250,CONVERTIBLE HEAD AND FACE COVERING,"A hooded garment wearable as a head covering or a head and face covering is provided. The garment includes a torso portion extending between an upper edge and a lower edge, and a head covering which includes an outer layer shaped and sized to circumscribe a wearer's head and an inner layer arranged on an inner surface of the outer layer. The head covering portion is attached to the upper edge of the torso portion and includes a head receiving opening defined by the upper edge of the torso portion, and a face opening defined by a peripheral edge of the outer layer. The inner layer is attached to the outer layer along and inwardly of the peripheral edge, and a lower edge of the inner layer is attached to the upper edge along outward opposing portions leaving a central portion of the lower edge unattached defining an opening between the outer layer and inner layer to receive the wearer's head. The inner layer defines an eye opening for the wearer's eyes, and a nose well formed below the eye opening to receive the wearer's nose."
US,20140096306,13782794,Hand Enclosure Garment,"A hand enclosure garment  with the primary fastening device  being fully open to be defined by the free proximal end  of the forearm covering  and along the radial border  to or substantially joint region  of the thumb covering 16. A releasable wrist and/or forearm engagement  for encircling the wrist covering  and/or the forearm covering 20, and for releasably securing the wrist covering  and/or the forearm covering  to a user's wrist region and/or lower forearm, is also provided, along with a secondary fastening device  at or adjacent to the free proximal end  of the forearm covering  for holding sides of the primary fastening device in close proximity to each other whilst the primary fastening device is in an unfastened state, so that a user can more easily operate the primary fastening device  with one hand."
US,20140096307,14047541,METHOD FOR MODIFYING THE SURFACE OF AN ELASTOMER PRODUCT,"The invention relates to a method for modifying the surface of an elastomer product with unsaturated carbon-carbon bonds, in particular a glove, whereby the unsaturated carbon-carbon bonds in the region of the surface are at least partially saturated by a photochemical reaction with at least one thiol or by applying or dipping to apply a layer of latex to at least certain regions of the surface of the elastomer product, the unsaturated carbon-carbon bonds of which in the region of its surface are at least partially saturated by a photochemical reaction with at least one thiol."
US,20140096308,14047588,ELASTOMER PRODUCT WITH COVALENTLY BONDED PARTICLES,"The invention relates to a method of bonding particles to the surface of an elastomer, in particular a glove, the surface of the elastomer being at least partially epoxidized, and the particles are covalently bonded to the epoxide groups after epoxidation of the elastomer surface."
US,20140096309,13621850,SYSTEM AND METHOD FOR AN IMPROVED APPEARANCE OF A PAIR OF PANTS,"A system and method for an improved appearance of a pair of pants. The system includes a pair of pants having one or more rear pant pockets, and one or more pant inserts configured to be inserted into and engage respective one or more rear pant pockets during an operational use thereof such that the one or more pant inserts straighten or take out the creases in the general area of the respective one or more rear pant pockets to improve the general appearance of the pair of pants when worn by a user. The one or more pant inserts include a wearable fabric layer, a first fusible or bonding product layer, a stiff utility material layer, and a second fusible or bonding product layer bonded together."
